frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
296,0,-95.312,-0.243345,345.828,17,4,2,2,0,0,0
297,0,-95.312,-0.243345,345.828,16,5,2,3,0,0,0
298,1,42.6637,-52.3418,340.885,17,6,2,4,0,0,0
299,0,42.6637,-52.3418,340.885,18,5,2,3,0,0,0
300,1,44.9633,-54.6833,335.574,18,6,1,4,0,0,1
301,0,44.9633,-54.6833,335.574,17,4,1,3,0,0,0
302,0,44.9633,-54.6833,335.574,19,4,2,2,0,0,0
303,1,63.3111,-53.0274,334.014,18,5,2,3,0,0,0
304,0,63.3111,-53.0274,334.014,17,4,2,2,0,0,0
305,0,63.3111,-53.0274,334.014,16,6,2,4,0,0,0
306,0,63.3111,-53.0274,334.014,17,4,2,2,0,0,0
307,1,110.715,-33.6872,338.886,16,7,2,4,0,0,1
308,0,110.715,-33.6872,338.886,18,4,2,2,0,0,0
309,0,110.715,-33.6872,338.886,18,5,2,3,0,0,0
310,1,150.68,-30.2356,332.961,19,5,1,3,0,0,0
311,1,168.895,-31.2625,328.678,19,5,2,3,0,0,0
312,0,168.895,-31.2625,328.678,17,5,2,3,0,0,0
313,1,185.169,-26.1434,333.939,16,6,2,3,0,0,0
314,0,185.169,-26.1434,333.939,19,8,3,5,0,0,0
315,0,185.169,-26.1434,333.939,16,4,2,2,0,0,0
316,0,185.169,-26.1434,333.939,18,4,2,2,0,0,0
317,0,185.169,-26.1434,333.939,18,4,2,2,0,0,0
318,0,185.169,-26.1434,333.939,17,5,2,3,0,0,0
319,0,185.169,-26.1434,333.939,16,4,2,2,0,0,0
320,0,185.169,-26.1434,333.939,23,5,2,3,0,0,0
321,1,204.809,-23.1907,261.067,16,5,2,3,0,0,0
322,0,204.809,-23.1907,261.067,16,4,1,3,0,0,0
323,0,204.809,-23.1907,261.067,16,4,2,2,0,0,0
324,0,204.809,-23.1907,261.067,16,7,4,3,0,0,0
325,0,204.809,-23.1907,261.067,17,4,2,2,0,0,0
326,0,204.809,-23.1907,261.067,17,4,2,2,0,0,0
327,0,204.809,-23.1907,261.067,17,4,2,2,0,0,0
328,1,183.496,-21.8755,177.944,17,5,2,2,0,0,1
329,0,183.496,-21.8755,177.944,18,4,2,2,0,0,0
330,0,183.496,-21.8755,177.944,16,4,1,3,0,0,0
331,0,183.496,-21.8755,177.944,16,4,2,2,0,0,0
332,0,183.496,-21.8755,177.944,21,5,2,3,0,0,0
333,0,183.496,-21.8755,177.944,15,5,2,3,0,0,0
334,0,183.496,-21.8755,177.944,15,4,2,2,0,0,0
335,0,183.496,-21.8755,177.944,17,4,2,2,0,0,0
336,0,183.496,-21.8755,177.944,17,4,2,2,0,0,0
337,0,183.496,-21.8755,177.944,16,5,2,3,0,0,0
338,0,183.496,-21.8755,177.944,17,5,2,3,0,0,0
339,0,183.496,-21.8755,177.944,16,4,2,2,0,0,0
340,0,183.496,-21.8755,177.944,15,4,2,2,0,0,0
341,0,183.496,-21.8755,177.944,17,4,2,2,0,0,0
342,0,183.496,-21.8755,177.944,16,6,3,3,0,0,0
343,0,183.496,-21.8755,177.944,18,5,2,3,0,0,0
344,0,183.496,-21.8755,177.944,15,4,2,2,0,0,0
345,0,183.496,-21.8755,177.944,18,5,2,3,0,0,0
346,0,183.496,-21.8755,177.944,16,4,2,2,0,0,0
347,0,183.496,-21.8755,177.944,16,4,2,2,0,0,0
348,0,183.496,-21.8755,177.944,18,6,3,3,0,0,0
349,1,106.164,-16.9494,94.5043,15,6,2,4,0,0,0
350,1,96.0479,-16.6997,94.495,16,5,2,3,0,0,0
351,1,90.1215,-16.9381,95.8895,17,5,2,3,0,0,0
352,1,86.4653,-17.0088,95.6396,16,6,2,4,0,0,0
353,1,83.095,-16.0438,95.983,16,6,1,5,0,0,0
354,1,77.5826,-16.7676,96.7169,16,4,2,2,0,0,0
355,1,70.5297,-16.3891,99.3275,16,6,2,4,0,0,0
356,1,63.3334,-17.0983,101.852,17,4,2,2,0,0,0
357,1,52.9212,-17.3034,104.576,16,4,2,2,0,0,0
358,1,40.931,-17.2293,106.605,18,5,2,3,0,0,0
359,1,31.6538,-17.2543,107.257,16,4,1,3,0,0,0
360,1,21.7789,-14.2899,106.603,15,5,2,2,0,1,0
361,1,12.7647,-17.3194,104.544,18,4,1,3,0,0,0
362,1,3.42291,-17.8337,103.399,17,4,2,2,0,0,0
363,1,-2.92592,-17.5821,103.867,16,5,2,3,0,0,0
364,1,-11.3933,-18.998,104.101,16,6,2,4,0,0,0
365,1,-21.259,-18.1343,105.595,16,5,2,3,0,0,0
366,1,-37.5242,-25.0422,103.057,15,5,2,3,0,0,0
367,1,-44.1258,-16.3648,108.282,16,4,2,2,0,0,0
368,1,-58.8435,-18.5607,107.49,16,5,2,3,0,0,0
369,1,-64.9304,-17.9024,109.341,15,6,2,4,0,0,0
370,1,-73.3581,-18.2981,107.637,18,6,3,3,0,0,0
371,1,-81.038,-18.4532,106.874,15,4,2,2,0,0,0
372,1,-87.7776,-18.1331,106.056,15,6,2,4,0,0,0
373,1,-96.1826,-17.5717,104.691,17,5,2,3,0,0,0
374,1,-103.744,-17.6672,103.273,17,4,2,2,0,0,0
375,1,-111.815,-18.2327,102.196,16,6,3,2,0,0,1
376,1,-122.304,-17.6341,103.345,16,7,3,4,0,0,0
