t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
12402,184,1,-5.57671,-48.2592,73.496,39,5,2,2,0,0,0
12463,185,1,-5.69297,-48.3307,73.3774,33,5,2,2,0,0,0
12532,186,1,-5.63976,-48.0994,73.5584,40,5,1,3,0,0,0
12597,187,1,-5.61953,-48.2402,73.5171,38,5,2,3,0,0,0
12663,188,1,-5.7168,-48.3595,73.3381,33,6,2,3,0,0,0
12727,189,1,-5.73101,-48.3515,73.2983,36,5,2,3,0,0,0
12789,190,1,-5.62482,-48.276,73.4222,33,5,2,2,0,0,0
12852,191,1,-5.71176,-48.2314,73.4405,37,4,1,2,0,0,0
12916,192,1,-5.64107,-48.2133,73.434,39,4,1,2,0,0,0
12996,193,1,-5.73724,-48.1079,73.4981,50,4,1,3,0,0,0
13061,194,1,-5.79479,-48.2033,73.3922,39,5,2,2,0,0,1
13125,195,1,-5.59066,-48.2468,73.5133,38,5,1,3,0,0,1
13193,196,1,-5.69361,-48.2003,73.5092,42,5,1,4,0,0,0
13256,197,1,-5.73116,-48.1566,73.499,37,5,1,4,0,0,0
13319,198,1,-5.56518,-48.2963,73.4438,37,4,1,3,0,0,0
13383,199,1,-5.74551,-48.2781,73.3572,37,4,1,3,0,0,0
13453,200,1,-5.65888,-48.2256,73.4306,43,5,1,3,0,0,1
13516,201,1,-5.71144,-48.2798,73.3646,37,4,1,2,0,0,0
13586,202,1,-5.7976,-48.1828,73.4647,44,4,1,2,0,0,0
13651,203,1,-5.82357,-48.1336,73.5758,39,4,1,2,0,0,0
13718,204,1,-5.71933,-48.2147,73.4833,39,5,2,2,0,0,0
13784,205,1,-5.6278,-48.1337,73.5448,37,5,1,3,0,0,1
13850,206,1,-5.66851,-48.3581,73.2864,39,5,2,2,0,0,0
13911,207,1,-5.62713,-48.2624,73.4074,34,4,1,2,0,0,0
13981,208,1,-5.81011,-48.1715,73.4813,41,5,2,2,0,0,0
14042,209,1,-5.71744,-48.1888,73.5009,31,5,1,3,0,0,0
14109,210,1,-5.64507,-48.2644,73.4096,40,5,1,3,0,0,1
14177,211,1,-5.73135,-48.1306,73.5357,40,5,2,2,0,0,0
14235,212,1,-5.70937,-48.2522,73.4438,30,4,1,2,0,0,0
14315,213,1,-5.87006,-48.178,73.499,50,5,2,2,0,0,1
