frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
221,1,40.0772,-150.785,658.346,164,27,3,7,1,2,12
222,1,39.3944,-151.569,658.089,169,27,3,8,1,3,11
223,1,38.5674,-150.463,658.524,165,61,3,18,1,7,24
224,1,40.505,-150.022,658.456,138,65,5,15,1,7,31
225,1,39.3829,-150.378,658.402,132,27,3,7,1,3,11
226,1,39.7,-149.684,658.776,169,27,3,8,1,3,11
227,1,39.5352,-151.121,658.203,169,26,3,7,1,3,11
228,1,39.5077,-150.978,658.264,169,58,6,18,0,7,25
229,1,41.1654,-150.729,658.313,137,63,3,20,3,2,33
230,1,38.0107,-149.585,658.795,132,27,3,8,1,3,11
231,1,39.1801,-150.346,658.425,169,27,3,8,1,3,11
232,1,38.812,-150.003,658.729,169,27,3,8,1,3,11
233,1,39.2481,-150.723,658.435,169,58,7,14,2,3,29
234,1,40.8249,-150.727,658.317,138,68,7,15,2,3,36
235,1,40.1428,-151.01,658.256,131,27,3,8,1,3,11
236,1,38.5162,-151.505,658.26,169,26,3,8,1,3,11
237,1,41.3255,-149.469,658.61,169,28,3,8,1,2,13
238,1,41.3019,-150.875,658.148,167,60,7,15,5,3,29
239,1,41.7074,-151.15,658.144,136,63,7,12,1,6,31
240,1,39.945,-153.096,657.683,133,26,3,7,0,3,12
241,1,40.2132,-150.939,658.228,169,26,3,7,0,3,12
242,1,40.4803,-150.645,658.318,168,27,4,7,1,2,12
243,1,39.9212,-150.656,658.284,173,56,3,18,0,6,25
244,1,40.9052,-150.602,658.471,136,64,7,17,3,6,30
245,1,40.8017,-150.708,658.199,133,26,3,7,0,3,12
246,1,39.2876,-151.499,658.238,168,27,4,7,0,3,11
247,1,40.1895,-150.37,658.54,6,28,3,8,1,3,11
248,1,41.633,-151.284,658.079,3,27,3,8,1,3,11
249,1,39.6329,-150.975,658.127,3,27,3,8,1,3,11
250,1,39.5003,-151.274,658.248,3,27,3,8,1,3,11
251,1,41.6385,-150.758,658.368,133,27,4,7,0,3,11
252,1,39.8212,-151.868,658.041,169,27,4,7,0,3,12
253,1,40.6918,-151.038,658.158,170,60,7,18,3,3,27
254,1,40.3809,-150.3,658.588,136,64,6,16,3,4,33
255,1,40.3511,-152.124,657.695,133,27,3,7,1,2,12
256,1,39.4526,-150.91,658.318,168,26,3,7,0,4,11
257,1,39.727,-151.222,658.147,169,26,3,7,1,2,12
258,1,41.1814,-149.866,658.511,169,62,6,17,1,9,29
259,1,39.4454,-149.722,658.729,134,62,6,16,0,9,30
260,1,39.9218,-150.627,658.331,133,27,3,7,1,3,11
261,1,40.2833,-150.699,658.28,169,27,3,7,1,3,11
262,1,38.7987,-150.024,658.543,169,27,3,7,1,3,11
263,1,38.1877,-149.837,658.753,169,58,7,16,2,5,23
264,1,39.9422,-152.114,657.97,138,65,6,16,3,7,29
265,1,42.1988,-150.781,658.234,133,27,3,8,1,3,11
266,1,40.5782,-151.249,658.247,169,27,3,8,1,3,11
267,1,39.7167,-150.766,658.332,169,27,3,8,1,3,11
268,1,41.8389,-150.727,658.31,169,57,3,19,0,5,27
269,1,40.3936,-149.676,658.691,138,63,6,16,3,8,26
270,1,40.066,-150.317,658.555,135,27,4,7,0,3,11
271,1,40.867,-150.778,658.419,168,27,4,7,0,3,11
272,1,39.346,-151.174,658.171,169,27,4,7,0,3,11
273,1,40.7084,-149.374,658.561,164,57,3,15,5,5,27
274,1,41.146,-151.326,658.211,139,62,3,19,1,7,28
275,1,39.2761,-151.181,658.167,135,26,3,7,0,3,12
276,1,40.6481,-150.058,658.529,164,28,4,7,0,3,13
277,1,39.9124,-149.933,658.618,167,27,3,8,0,3,11
278,1,39.4438,-150.383,658.393,169,51,4,11,1,7,28
279,1,40.1034,-150.568,658.333,145,63,5,17,5,5,30
280,1,40.9351,-148.838,658.791,134,28,3,8,1,3,12
281,1,40.3403,-150.603,658.357,168,26,3,7,1,3,11
282,1,40.8741,-151.432,658.062,169,26,3,7,1,2,12
283,1,41.3441,-150.219,658.506,169,55,3,13,1,6,25
284,1,40.9006,-150.422,658.409,144,64,5,15,5,3,31
285,1,41.2848,-151.23,658.112,134,27,4,7,0,3,12
286,1,41.4408,-151.181,658.158,168,27,3,7,1,3,11
287,1,39.8708,-150.22,658.536,169,27,3,7,1,3,11
288,1,40.7078,-150.779,658.316,169,52,3,11,1,7,28
289,1,40.2665,-150.619,658.39,145,61,8,14,1,7,30
290,1,42.2111,-149.805,658.473,135,27,3,8,0,3,11
291,1,40.3359,-150.782,658.373,169,27,3,8,1,3,11
292,1,40.3089,-150.581,658.326,169,27,3,8,1,3,11
293,1,39.4631,-151.252,658.218,169,51,3,8,1,3,30
294,1,40.4057,-151.247,658.048,145,61,6,14,1,7,28
295,1,39.7214,-151.552,658.049,133,27,3,8,1,3,11
296,1,38.7647,-151.732,657.992,168,27,3,8,0,3,11
297,1,41.2331,-150.698,658.363,169,27,4,7,0,3,11
298,1,39.3576,-150.088,658.641,170,50,3,7,4,3,29
299,1,38.1459,-151.257,658.233,144,64,8,13,1,7,29
300,1,39.2436,-150.388,658.609,132,27,3,8,0,3,11
301,1,41.1031,-150.613,658.393,169,27,4,7,0,3,11
302,1,40.388,-151.122,658.19,169,27,3,8,0,3,11
303,1,39.8444,-150.252,658.469,165,45,3,8,0,3,29
304,1,41.0115,-150.305,658.338,153,63,6,15,1,6,29
305,1,40.69,-151.318,658.209,135,27,3,7,0,3,12
306,1,39.9127,-150.856,658.288,168,27,4,7,0,3,11
307,1,40.82,-151.325,658.082,169,27,4,7,0,3,12
308,1,40.4953,-150.609,658.316,169,43,3,8,1,2,27
309,1,41.5367,-150.803,658.186,155,63,6,16,1,7,29
310,1,39.9317,-151.127,658.096,134,27,3,7,1,2,12
311,1,40.0666,-151.235,658.246,168,26,3,7,0,3,12
312,1,41.8632,-151.187,658.079,168,27,4,7,0,3,12
313,1,39.6611,-151.123,658.261,170,38,3,7,1,2,24
314,1,41.7834,-151.373,658.067,157,60,7,15,0,9,27
315,1,40.4365,-151.254,658.16,138,27,3,7,1,2,12
316,1,41.4127,-150.11,658.365,168,28,3,7,1,2,13
317,1,40.4316,-150.774,658.392,168,26,3,7,1,2,12
