t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
15653,262,1,116.441,-36.6047,299.923,19,7,1,5,0,0,1
15710,263,1,102.132,-36.2753,300.087,20,8,2,5,0,0,0
15768,264,1,106.653,-70.1376,281.844,19,6,1,5,0,0,0
15824,265,0,106.653,-70.1376,281.844,18,9,2,6,0,0,0
15880,266,1,60.8845,-42.4863,298.523,19,8,1,6,0,0,1
15932,267,1,60.7736,-42.9134,297.65,18,6,1,5,0,0,0
15988,268,1,55.5209,-35.7953,300.617,18,9,2,6,0,0,0
16048,269,1,56.2135,-48.1712,298.961,22,8,2,5,0,0,0
16102,270,1,46.3679,-46.4377,300.981,18,7,2,5,0,0,0
16159,271,1,25.6573,-29.3257,307.845,20,8,1,5,0,0,0
16213,272,1,25.3569,-37.4664,305.947,17,8,3,4,0,0,1
16265,273,1,35.6262,-43.7688,305.087,19,6,1,5,0,0,0
16320,274,1,31.4765,-33.6846,308.12,19,7,1,6,0,0,0
16372,275,1,33.6051,-30.5718,309.13,18,6,1,5,0,0,0
16426,276,1,29.9836,-23.065,311.339,18,7,2,4,0,0,0
16482,277,1,-23.5568,-22.7283,313.72,17,8,2,4,0,0,1
16535,278,1,4.2897,-13.5957,318.181,19,6,1,4,0,0,0
16590,279,1,65.7442,-16.0042,308.531,17,7,2,4,0,0,0
16644,280,1,-69.0666,-3.85316,311.298,19,7,1,5,0,0,1
16700,281,1,-83.6177,-6.02688,309.91,20,7,1,5,0,0,1
16752,282,0,-83.6177,-6.02688,309.91,17,7,2,5,0,0,0
16808,283,1,-102.888,-6.37836,314.129,20,7,1,5,1,0,0
16869,284,1,-122.553,-11.0074,307.972,24,9,2,6,0,0,0
16923,285,0,-122.553,-11.0074,307.972,16,7,2,4,0,0,0
16975,286,0,-122.553,-11.0074,307.972,16,7,2,5,0,0,0
17029,287,0,-122.553,-11.0074,307.972,19,7,2,4,0,0,0
17084,288,0,-122.553,-11.0074,307.972,19,6,1,5,0,0,0
17142,289,0,-122.553,-11.0074,307.972,20,8,2,5,0,0,0
17197,290,1,-120.472,-11.3576,349.824,17,9,2,6,0,0,1
17251,291,1,-102.562,-4.62026,350.572,16,7,2,4,0,0,0
17305,292,1,-95.3093,-0.241978,345.83,19,7,2,4,1,0,0
17359,293,1,85.4397,-19.4783,346.739,17,7,2,4,0,1,0
17412,294,1,75.5262,-21.9754,344.664,17,9,2,6,0,0,0
17466,295,0,75.5262,-21.9754,344.664,18,7,2,4,0,0,0
17528,296,1,47.1877,-36.6645,345.309,24,10,1,7,0,0,1
17584,297,1,55.8813,-48.5736,341.733,20,8,2,5,0,0,0
17640,298,1,42.6657,-52.3404,340.885,19,8,2,5,0,0,1
17694,299,1,41.7355,-57.9895,339.837,18,7,2,4,0,0,1
17749,300,0,41.7355,-57.9895,339.837,19,6,1,5,0,0,0
17805,301,0,41.7355,-57.9895,339.837,17,7,2,4,0,0,0
17858,302,1,68.4663,-56.2301,329.028,20,7,1,5,0,0,0
17910,303,1,63.3125,-53.0309,334.013,18,7,1,5,1,0,0
17965,304,1,72.9151,-45.9961,339.236,19,8,2,5,0,0,0
18019,305,0,72.9151,-45.9961,339.236,18,7,2,5,0,0,0
18073,306,0,72.9151,-45.9961,339.236,19,7,2,4,0,0,0
18128,307,0,72.9151,-45.9961,339.236,20,7,2,4,0,0,0
18187,308,0,72.9151,-45.9961,339.236,23,8,2,5,0,0,0
18243,309,0,72.9151,-45.9961,339.236,19,7,2,4,0,0,0
18298,310,0,72.9151,-45.9961,339.236,19,8,3,4,0,0,0
18354,311,0,72.9151,-45.9961,339.236,19,9,3,5,0,0,0
18408,312,0,72.9151,-45.9961,339.236,17,7,3,4,0,0,0
18462,313,0,72.9151,-45.9961,339.236,19,7,2,5,0,0,0
18518,314,0,72.9151,-45.9961,339.236,22,7,2,4,0,0,0
18570,315,0,72.9151,-45.9961,339.236,16,6,2,4,0,0,0
18626,316,0,72.9151,-45.9961,339.236,17,8,2,5,0,0,0
18686,317,0,72.9151,-45.9961,339.236,19,9,2,6,0,0,0
18743,318,0,72.9151,-45.9961,339.236,21,6,1,5,0,0,0
18799,319,0,72.9151,-45.9961,339.236,19,6,2,4,0,0,0
18853,320,0,72.9151,-45.9961,339.236,18,7,2,4,0,0,0
18912,321,0,72.9151,-45.9961,339.236,20,7,2,5,0,0,0
18964,322,0,72.9151,-45.9961,339.236,16,6,1,5,0,0,0
19019,323,0,72.9151,-45.9961,339.236,19,7,2,4,0,0,0
19078,324,0,72.9151,-45.9961,339.236,20,9,2,6,0,0,0
19132,325,0,72.9151,-45.9961,339.236,17,7,2,5,0,0,0
19184,326,0,72.9151,-45.9961,339.236,18,6,1,4,0,0,0
19239,327,0,72.9151,-45.9961,339.236,20,7,2,5,0,0,0
19296,328,0,72.9151,-45.9961,339.236,19,8,3,4,0,0,0
19368,329,0,72.9151,-45.9961,339.236,21,8,2,5,0,0,0
19476,330,0,72.9151,-45.9961,339.236,22,6,1,5,0,0,0
19538,331,0,72.9151,-45.9961,339.236,22,9,3,5,0,0,0
19594,332,0,72.9151,-45.9961,339.236,18,7,1,5,0,0,0
19658,333,0,72.9151,-45.9961,339.236,22,8,3,5,0,0,0
19721,334,0,72.9151,-45.9961,339.236,19,10,2,7,0,0,0
19781,335,0,72.9151,-45.9961,339.236,20,7,2,5,0,0,0
19849,336,0,72.9151,-45.9961,339.236,26,10,2,7,0,0,0
19911,337,0,72.9151,-45.9961,339.236,21,6,2,4,0,0,0
19965,338,0,72.9151,-45.9961,339.236,20,7,2,5,0,0,0
20028,339,0,72.9151,-45.9961,339.236,20,9,3,6,0,0,0
20081,340,0,72.9151,-45.9961,339.236,15,7,2,5,0,0,0
20135,341,0,72.9151,-45.9961,339.236,17,9,2,6,0,0,0
20187,342,0,72.9151,-45.9961,339.236,18,7,2,4,0,0,0
20244,343,0,72.9151,-45.9961,339.236,19,7,2,5,0,0,0
20295,344,0,72.9151,-45.9961,339.236,16,7,2,4,0,0,0
20353,345,0,72.9151,-45.9961,339.236,22,8,2,6,0,0,0
20406,346,0,72.9151,-45.9961,339.236,16,7,2,4,0,0,0
20462,347,0,72.9151,-45.9961,339.236,19,8,2,5,0,0,0
20515,348,0,72.9151,-45.9961,339.236,19,6,1,5,0,0,0
20564,349,0,72.9151,-45.9961,339.236,16,6,2,4,0,0,0
20616,350,0,72.9151,-45.9961,339.236,17,6,1,4,0,0,0
20666,351,0,72.9151,-45.9961,339.236,16,7,2,5,0,0,0
20725,352,0,72.9151,-45.9961,339.236,21,7,2,5,0,0,0
20776,353,0,72.9151,-45.9961,339.236,15,7,2,4,0,0,0
20831,354,0,72.9151,-45.9961,339.236,20,7,2,4,0,0,0
20886,355,0,72.9151,-45.9961,339.236,19,7,2,4,0,0,0
20938,356,1,63.3335,-17.0984,101.852,16,7,2,4,1,0,0
20991,357,1,52.9212,-17.3034,104.575,18,6,2,4,0,0,0
21045,358,1,40.9311,-17.2293,106.605,19,6,1,4,0,0,0
21103,359,1,31.6539,-17.2543,107.257,20,7,2,4,0,0,0
21158,360,1,21.7791,-14.2899,106.603,20,7,2,4,0,0,0
21213,361,1,12.7652,-17.3194,104.544,19,7,2,4,0,0,0
21264,362,1,3.4229,-17.8338,103.399,17,6,1,4,0,0,0
21318,363,1,-2.92556,-17.5823,103.867,18,7,2,4,0,0,0
21373,364,1,-11.3935,-18.9979,104.101,19,7,1,5,0,0,0
21429,365,1,-21.2591,-18.1342,105.595,21,7,1,5,0,0,1
21485,366,1,-37.5246,-25.0417,103.057,19,9,2,6,1,0,0
21539,367,1,-44.1253,-16.3648,108.283,19,7,1,5,0,0,1
21592,368,1,-58.8436,-18.5607,107.49,18,6,1,5,0,0,0
21646,369,1,-64.9302,-17.9026,109.341,18,7,2,4,0,0,0
21698,370,1,-73.3582,-18.2982,107.637,18,6,1,4,0,0,0
21749,371,1,-81.0378,-18.4531,106.875,17,6,1,4,0,0,0
21802,372,0,-81.0378,-18.4531,106.875,16,6,1,5,0,0,0
21852,373,0,-81.0378,-18.4531,106.875,16,6,1,5,0,0,0
21905,374,0,-81.0378,-18.4531,106.875,18,6,2,4,0,0,0
21959,375,0,-81.0378,-18.4531,106.875,18,7,2,4,0,0,0
22015,376,0,-81.0378,-18.4531,106.875,19,7,2,4,0,0,0
22069,377,0,-81.0378,-18.4531,106.875,19,6,1,5,0,0,0
22122,378,0,-81.0378,-18.4531,106.875,19,6,2,4,0,0,0
22178,379,0,-81.0378,-18.4531,106.875,19,6,1,4,0,0,0
22230,380,0,-81.0378,-18.4531,106.875,18,8,2,5,0,0,0
22284,381,0,-81.0378,-18.4531,106.875,21,6,2,4,0,0,0
22337,382,0,-81.0378,-18.4531,106.875,18,7,2,4,0,0,0
