frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
262,0,233.689,233.689,233.689,148,73,43,28,0,0,0
263,0,233.689,233.689,233.689,148,74,43,28,0,0,0
264,1,106.653,106.653,106.653,146,80,43,28,0,3,3
265,0,106.653,106.653,106.653,149,70,43,25,0,0,0
266,1,60.8873,60.8873,60.8873,150,84,43,27,0,3,8
267,1,60.7639,60.7639,60.7639,150,85,43,32,0,3,5
268,1,55.5198,55.5198,55.5198,149,84,43,31,0,3,4
269,1,56.214,56.214,56.214,144,79,43,26,0,3,4
270,1,46.3723,46.3723,46.3723,150,91,43,35,0,3,4
271,1,25.6891,25.6891,25.6891,148,85,43,31,1,3,5
272,1,25.3115,25.3115,25.3115,150,87,43,32,1,3,5
273,1,35.6242,35.6242,35.6242,146,95,43,28,0,11,9
274,1,31.3995,31.3995,31.3995,159,90,43,35,0,4,5
275,1,33.659,33.659,33.659,148,93,43,36,0,3,8
276,0,33.659,33.659,33.659,150,74,43,29,0,0,0
277,1,-23.5569,-23.5569,-23.5569,146,92,43,29,1,3,12
278,0,-23.5569,-23.5569,-23.5569,144,71,43,26,0,0,0
279,1,65.7332,65.7332,65.7332,149,88,43,30,0,4,9
280,1,-69.0707,-69.0707,-69.0707,147,92,44,27,0,3,16
281,1,-83.6148,-83.6148,-83.6148,151,84,43,28,1,2,8
282,0,-83.6148,-83.6148,-83.6148,146,72,43,27,0,0,0
283,1,-102.891,-102.891,-102.891,149,89,43,29,1,3,11
284,0,-102.891,-102.891,-102.891,153,81,43,36,0,0,0
285,0,-102.891,-102.891,-102.891,149,75,44,28,0,0,0
286,0,-102.891,-102.891,-102.891,149,88,44,42,0,0,0
287,0,-102.891,-102.891,-102.891,153,73,43,27,0,0,0
288,0,-102.891,-102.891,-102.891,149,72,43,27,0,0,0
289,0,-102.891,-102.891,-102.891,151,72,43,27,0,0,0
290,0,-102.891,-102.891,-102.891,152,82,43,36,0,0,0
291,0,-102.891,-102.891,-102.891,148,80,43,33,0,0,0
292,1,-95.312,-95.312,-95.312,149,85,43,29,1,2,8
293,0,-95.312,-95.312,-95.312,146,71,43,26,0,0,0
294,0,-95.312,-95.312,-95.312,152,81,43,36,0,0,0
295,0,-95.312,-95.312,-95.312,149,72,43,27,0,0,0
296,0,-95.312,-95.312,-95.312,150,74,43,29,0,0,0
297,0,-95.312,-95.312,-95.312,148,74,44,28,0,0,0
298,1,42.6617,42.6617,42.6617,151,87,43,31,0,3,8
299,0,42.6617,42.6617,42.6617,148,72,44,26,0,0,0
300,1,44.9633,44.9633,44.9633,148,96,43,40,1,2,8
301,0,44.9633,44.9633,44.9633,149,73,44,26,0,0,0
302,0,44.9633,44.9633,44.9633,152,72,43,27,0,0,0
303,1,63.3111,63.3111,63.3111,148,82,43,28,1,3,4
304,0,63.3111,63.3111,63.3111,149,71,43,26,0,0,0
305,0,63.3111,63.3111,63.3111,148,72,43,27,0,0,0
306,0,63.3111,63.3111,63.3111,150,72,43,27,0,0,0
307,1,110.715,110.715,110.715,148,82,43,26,1,3,6
308,0,110.715,110.715,110.715,150,70,44,24,0,0,0
309,0,110.715,110.715,110.715,148,71,43,25,0,0,0
310,1,150.68,150.68,150.68,148,87,43,31,0,3,7
311,1,168.895,168.895,168.895,148,77,43,25,1,2,4
312,0,168.895,168.895,168.895,148,70,43,25,0,0,0
313,1,185.169,185.169,185.169,150,84,43,29,0,3,6
314,0,185.169,185.169,185.169,149,94,43,48,0,0,0
315,0,185.169,185.169,185.169,149,73,44,26,0,0,0
316,0,185.169,185.169,185.169,149,72,43,26,0,0,0
317,0,185.169,185.169,185.169,149,70,43,25,0,0,0
318,0,185.169,185.169,185.169,150,72,43,27,0,0,0
319,0,185.169,185.169,185.169,149,70,43,25,0,0,0
320,0,185.169,185.169,185.169,148,70,43,25,0,0,0
321,1,204.809,204.809,204.809,147,83,43,29,1,2,6
322,0,204.809,204.809,204.809,149,74,43,29,0,0,0
323,0,204.809,204.809,204.809,147,70,43,25,0,0,0
324,0,204.809,204.809,204.809,148,73,44,27,0,0,0
325,0,204.809,204.809,204.809,148,74,43,29,0,0,0
326,0,204.809,204.809,204.809,147,70,44,24,0,0,0
327,0,204.809,204.809,204.809,148,70,43,25,0,0,0
328,1,183.496,183.496,183.496,150,83,43,28,0,3,6
329,0,183.496,183.496,183.496,148,70,43,24,0,0,0
330,0,183.496,183.496,183.496,146,71,43,26,0,0,0
331,0,183.496,183.496,183.496,146,73,43,28,0,0,0
332,0,183.496,183.496,183.496,148,77,43,32,0,0,0
333,0,183.496,183.496,183.496,146,71,44,25,0,0,0
